Num Not	FRBNF	ARK	ISBN	EAN	Titre	Auteur	Date	Volume-Tome	Editeur
  DOB00002277			9783943215045		Die grosse Illusionr veristische Skulpturen und ihre Techniken  Ausstellung   Liebieghaus Skulpturensammlung  Frankfurt am Main  1  Oktober 2014 bis 1  MÀrz 2015	herausgegeben von stefan rolle			
  ARC00006376			978-2-13-052787-9		Diplomatie et relations internationales au Moyen âge  Texte imprimé    IXe-XVe siècle	jean-marie pequignot moeglin stephane	2017		Presses Universitaires de France
  ARC00007049					Direction du patrimoine et de l'archéologie de Nantes-Métropole  Le square Fleuriot-de-Langle à Nantes   premiers résultats d'une fouille à l'angle sud-ouest de la fortification urbaine médiévale	dreillard camille mathieu laurens-berge	2019		
  ARC00007017					Discours académiques	ferdinand brunetiere	1901		Librairie Académique Perrin et Cie
  ARC00007020					Discours de Combat	ferdinand brunetiere	1903		Librairie Académique Perrin et Cie
  ARC00007019					Discours de Combat	ferdinand brunetiere	1900		Librairie Académique Perrin et Cie
  ARC00007018					Discours de Combat	ferdinand brunetiere	1907		Librairie Académique Perrin et Cie
  ARC00006589					Discours sur l'histoire universelle par Bossuet Pour expliquer la suite de la religion et les changements des empires	jacques benigne bossuet	1821	Tome second	Chez Delestre-Boulage
  ARC00006588					Discours sur l'histoire universelle par Bossuet Pour expliquer la suite de la religion et les changements des empires	jacques benigne bossuet	1821	Tome premier	Chez Delestre-Boulage
  ARC00006722					Divatte-sur-Loire  Bulletin municipal				
  ARC00006945					Données publiques et protection des données personnelles   le cadre européen	lanna maximilien	2018		
  ARC00006801					Dossier  A propos du témoignage de l'abbé Allain  Les habitants de Saint-Joachim sont-ils vraiment des pauvres vivant de l'extraction et du commerce de la tourbe  	alain gallice	2019		
  ARC00006960					Du charbon à la biomasse  une centrale en transition Quel avenir pour Cordemais  	lionel olivier	2019		
  DOB00002322			978-2-343-13149-8		Du lieu de culte à la salle de musée muséologie des édifices religieux	claire merleau-ponty	2017		Editions de L'Harmattan
  ARC00006712					Du marché de gros au Min de Nantes	abed loic	2019		
  ARC00006820					Du trois-mâts Duquesne au paquebot Normandie  la navigation de Jean-Baptiste Codet	kervarec michel	2019		
  FRBNF45706622000000X			978-2-911253-92-8		E bord des chalutiers dragueurs de mines	marc pinard rene elder jean-francois henry	2019		Centre Vendéen de Recherches Historiques
  ARC00006519					e mariage de Saillé	laurent oriot blanchard albane	2019		
  ARC00007084					Economie traditionnelle du Pouliguen avant 1854		2019		
  ARC00006333					Eglise Notre-Dame-de-Pitié Restaurant objets d'art		2018		
  ARC00006575					Elémens de littérature	marmontel jean-francois	1787		
  ARC00006576					Eléments de littérature	marmontel jean-francois	1825		Chez Verdière
  ARC00006596					Elévations à Dieu sur tous les mystères de la religion chrétienne  par Bossuet	jacques benigne bossuet	1822		Chez Delestre-Boulage
  ARC00006595					Elévations à Dieu sur tous les mystères de la religion chrétienne  par Bossuet	jacques benigne bossuet	1822		Chez Delestre-Boulage
  DOB00002263			9789461615138		Eloge du sentiment et de la sensibilité peintures françaises du XVIIIe siècle des collections de Bretagne  exposition  Nantes  Musée d'arts  15 février - 12 mai 2019   Rennes  Musée des beaux-arts  16 février - 12 mai 2019	musee kazerouni guillaume des adeline beaux-arts collange-perugi	2019		Editions Snoeck
  ARC00006993					En ce temps là    l'année 1954	danielle jean-pierre gaudron bernard	2019		
  ARC00006657					En Loire-Atlantique  des poches de pauvreté urbaines	francois herve guery cousseau	2019		
  ARC00006682					En quête d'énergies bleues	pascaline vallee	2019		
  DOB00002389			978-1-907427-50-3		English silver coinage from 1649	by maurice bull	2015		Spink   Son
  DOB00002344			978-2-913272-29-3		Ensembles funéraires gallo-romains de la Loire moyenne II	alain ferdiere	2013		FERACF
  ARC00006397			978-2-11-129080-8		Entre ciel  terre et mer La Bibliothèque du Service historique de la Défense	dubos jean-francois	2018		Service historique de la Défense
  ARC00006733					Entre Loire-Atlantique  Maine-et-Loire et Vendée   le réseau de villes du nord de la cité des Pictons  IVème-VIIème siècle apr  J -C  	monteil martial	2019		
  ARC00007102					Entre Moyen-Ege et Renaissance les grandes heures de Josselin	patrick huchet	2019		Editions Ouest-France
  ARC00006674					Entre usage et conservation La restauration des bateaux protégés au titre des monuments historiques	mathurin clementine	2019		
  DOB00002351					Epitres d'un imprimeur bibliolâtre à de vrais bibliophiles et à des bibliophiles qui s'ignorent   les règles qui conditionnent le beau livre typographique	e baudelot	1948		
  FRBNF310240090000006					Erreurs de Voltaire  par l'abbé Nonnotte  Nouvelle édition  augmentée d'un 3e volume intitulé   l'Esprit de Voltaire dans ses écrits   Texte imprimé	nonnotte claude-francois	1822		Méquignon junior
  ARC00006545					Escapade sur la cÎte d'Amour	alexandre biet lamoureux marie-christine	2019		
  ARC00006932					Esclavage  mémoire  réparation	nicola frith	2018		
  ARC00007031					Essai de psychologie contemporaine Baudelaire  M  Renan  Flaubert  M  Taine  Stendhal	bourget paul	1891		Alphonse Lemerre
  ARC00007123					essai multi occurences				
  ARC00007124					essai thèse				
  ARC00006551					Essais de critique et d'histoire par H  Taine	adolphe hippolyte taine	1874		Librairie Hachette et Cie
  ARC00006525					Essais de Montaigne  avec les notes de M  Coste suivis de son éloge  nouvelle édition	de montaigne michel	1789		Volland
  ARC00006544					Et si on remontait le temps en Pays de Loire  		2018	n° 33	
  FRBNF45761370000000X			978-2-36833-247-4		Et Tati créa Monsieur Hulot	jean-claude pascal rabate chemin	2019		Locus Solus
  ARC00006445					Etimacie royale en terre guérandaise	barbot michel	2019		
  ARC00006406			978-2-8240-0754-0		Etudes sur la naissance des principautés territoriales en France  IXe-Xe siècles 	jan dhondt	2018		Editions des régionalismes
  UNI00000009	frbnf406864950000002				Europe	meissas gaston	1876		Hachette
  UNI00000008	frbnf406865120000005				Europe		1889		Ex Andriveau  Goujon
  UNI00000007	frbnf406864950000002				Europe	meissas gaston	1876		Hachette
  UNI00000006	frbnf333779130000001				Europe		1944		Editions de minuit
  UNI00000005	frbnf406865230000009				Europe		1913		Eydt
  UNI00000004	frbnf434433520000001				Europe		1979		
  UNI00000003	frbnf406865120000005				Europe		1889		Ex Andriveau  Goujon
  UNI00000002	frbnf406865120000005				Europe		1889		Ex Andriveau  Goujon
  UNI00000001	frbnf458583050000002				Europe	p bineteau			Bineteau
	frbnf434427150000005				Europe		1955		
	frbnf416101400000007				Europe		1956		les Editions Nagel
  ARC00007090					Evolution du commerce du sel après 1854  Récit d'un déclin annoncé	de les memoire association greniers la	2019		
  ARC00006632					Evolutions des territoires de Loire-Atlantique 1955-2015 Entretien avec Jean Renard et Nicole Croix	sophie margetic auger christine	2018		
  ARC00006600					Exposition de la doctrine de l'église catholique sur les matières de controverse  suivie de la conférence avec M  Claude  et des instructions pastorales sur les promesses faites à l'église	jacques benigne bossuet	1822		Chez Delestre-Boulage
  ARC00006679					Ex-voto marins en Loire-Atlantique	delpire laurent	2019		
  FRBNF458011340000003			978-2-35077-351-3		Faire de la généalogie avec les jeunes méthodes  pistes et réalisations introduire la généalogie dans l'éducation	duret doladille yannick evelyne	2019		Archives   Culture
  ARC00006534					Fanny ou l'esprit du large	roy bernard	1934		Les Ecrivains Associés
  ARC00006676					Félix Cossin Un armateur corsaire nantais	david plouviez	2019		
  FRBNF333904090000007					Felletin poésies d'un collège chrétien  de 1836 à 1853	delor hippolyte	1884		Ch  Douniol Leblanc
  DOB00002264			9782906519756		Femmes au travail en fragilité au XVIIIe siècle  Nantes	krystel gualde	2019		Editions Château des Ducs de Bretagne
  DOB00002265			9782906519763		Femmes au travail vers la reconnaissance au XIXe siècle  Nantes	krystel gualde	2019		Editions Château des Ducs de Bretagne
  DOB00002266			9782906519770		Femmes au travail vers légalité au XXe siècle  Nantes	krystel gualde	2019		Editions Château des Ducs de Bretagne
  FRBNF45695807000000X			978-2-906519-75-6;978-2-906519-76-3;978-2-906519-77-0		Femmes au travailTexte imprimé	krystel gualde	2019		
  ARC00006917					Femmes et négoce dans les ports européens  Fin du Moyen-Ege - XIXème siècle	dufournaud nicole bernard michon	2018		Peter Lang
  ARC00006886					Fête patriotique à Vertou	jean-claude brosseau	2019		
  ARC00006990					Fêtes  jeux de plage  régates   rythment les étés à Mesquer-Quimiac	le jocelyne borgne	2018		
  ARC00006463					Films d'histoire Silhouettes et paysages	cornilleau robert			Editions Spes
  DOB00002306			9782908752878		Flacon à sels  vinaigrettes et boîtes à mouches accessoires féminins de l'époque romantique	darnis leon			La Pensée Romantique  d 2008
  ARC00007002					Flash mag d'Asserac  Le 				
  ARC00006889					Formation de la commune des Sorinières créée le 31 mai 1865 par un décret impérial	joseph leaute	2019		
  ARC00006815					Fragments de vie  Simone Leray	isidore impinna	2019		
  ARC00006806					François Lyrot  un chef vendéen  et son héritage	kervarec michel	2019		
  ARC00006691					Frédéric Cailliaud 1787-1869	muriel rouaud	2019		
  DOB00002310			9782369426714		Game of thrones de l'histoire à la série	cedric delaunay	2018		Nouveau Monde Editions
  DOB00002335			978-2-7596-0419-7		Génération en Révolution dessins français du musée Fabre  1770-1815	hilaire hudowicz michel florence	2019		Paris-Musées Musée Fabre
  ARC00006832					Géographie du département de la Loire-Inférieure	adolphe joanne	1891		Libraire Hachette
  ARC00006971					Georges Charpak	tabary bernard	2019		
  ARC00007006					Gétigné  Bulletin municipal Get'infos				
  ARC00007005					Gétigné  Bulletin municipal L'écho de la butte				
  ARC00006819					Gobo  peintre et graveur	vince yann	2019		
  ARC00006923					Gorée   haut lieu africain de la mémoire internationale de la traite atlantique  1962-2016 	guy saupin	2018		
  ARC00006464			2-7118-3857-9		Gothic revival architecture et arts décoratifs de l'Angleterre victorienne exposition  Paris  Musée d'Orsay  1er mars-6 juin 1999 	marc council british musee girveau bruno d'orsay bascou	1999		Réunion des Musées Nationaux
  DOB00002358			9782909417356		Graslin un homme  son uvre  son quartier	pompidou gerard	2019		Art 3- Plessis éditions
  FRBNF457551150000001			978-2-909417-35-6		Graslin un homme  son oeuvre  son quartier	pompidou gerard	2019		
  DOB00002332			978-2-35906-245-8		Gravure en clair-obscur Cranach  Raphaël  Rubens	lepape severine	2018		Lienart éditions Editions du Louvre
  ARC00006444					Guérande et le culte de Saint-Michel	fernand gueriff	2019		
  FRBNF458099300000004			978-2-213-71219-2		Guerre et paix en Vendée  1794-1796	rolland-boulestreau anne	2019		Editions Fayard
  FRBNF45773217000000X			978-2-11-129084-6		Guerres et paix en affiches de l'Ancien régime à Sentinelle  exposition  Vincennes  Château de Vincennes  24 juin-22 septempre 2019 	de france rocher defense service yves-marie historique doizelet luca sophie benjamin la	2019		
  FRBNF456640940000006			978-2-11-145651-8		Guide de recherche dans les archives du Conseil d'Etat	flament-guelfucci isabelle chave emmanuelle	2018		La Documentation française
  ARC00006768					Guide des voies fluviales   de Dinan à Nantes	albert-ernest julien glandaz boistel	1907		Hachette et Cie
  ARC00006389					Guide pratique de Nantes  Saint-Nazaire-la Baule  CÎte d' Amour   CÎte de Jade				
  ARC00006388					Guide pratique de Saint-Nazaire  CÎte d' Amour   CÎte de Jade				
  ARC00006915					Guide secret de la Côte d'Amour de Saint-Nazaire à Guérande	huguette ausias-messer	2019		Editions Ouest-France
  FRBNF457072160000005			978-2-36935-219-8		Habiter en lutte ZAD de Notre-Dame-des-Landes  quarante ans de résistance	comm'un collectif	2019		le passager clandestin
  UNI00000011	frbnf458085920000000				Harry Potter	j k rowling	199		Bloomsbury
  UNI00000010	frbnf457074940000002				Harry Potter				Kyrnea international
	frbnf409607600000007				Harry Potter	j k rowling	2006		 France loisirs 
	frbnf409607600000007				Harry Potter	j k rowling	2006		 France loisirs 
	frbnf409607600000007				Harry Potter	j k rowling	2006		 France loisirs 
	frbnf457074940000002				Harry Potter				Kyrnea international
	frbnf443417670000006				Harry Potter	j k rowling	2012		an Amzer embanner
	frbnf409607600000007				Harry Potter	j k rowling	2006		 France loisirs 
	frbnf409607600000007				Harry Potter	j k rowling	2006		 France loisirs 
	frbnf409607600000007				Harry Potter	j k rowling	2006		 France loisirs 
	frbnf457074940000002				Harry Potter				Kyrnea international
	frbnf409607600000007				Harry Potter	j k rowling	2006		 France loisirs 
	frbnf409607600000007				Harry Potter	j k rowling	2006		 France loisirs 
  DOB00002305			978-2-930948-01-0		Hekátê triformis Mélanges de numismatique et d'archéologie en mémoire de Marc Bar	marc genevieve jean-marc doyen bar vincent	2017		Cercle d'Etudes Numismatiques
  ARC00006866					Henri et Marie-Thérèse Serennes  Justes parmi les Nations 	pays de retz des historiens du societe	2019		
  ARC00006776					Henri Lemasson 1870-1956  Un Gavrais à l'itinéraire hors du commun				
  ARC00006621					Henriette Le Belzic  résistante déportée  De novembre 1941 à avril 1945  Mémoires d'une Bretonne dans l'enfer concentrationnaire nazi	le boulanger isabelle	2018		Coop Breizh
  FRBNF456466220000001			978-2-918315-18-6		Hiérarchie et ascension sociale de nos ancêtres artisans et boutiquiers condition  vie quotidienne  travail et ascension sociale  XVIe-XIXe siècle	sabot thierry	2018		
  ARC00007041					Histoire  La Belle Epoque	pierre aubry	2019		
  ARC00006980					Histoire  mémoire et patrimoine   Les Religieuses dans la tournente révolutionnaire en Vendée militaire Mémoire de Master II d'Histoire  Civilisation  Patrimoine et Sources	de rozieres berenice	2019		
  FRBNF428037040000000					Histoire de Charles XII  roi de Suède  divisée en huit livres  avec l'Histoire de l'empire de Russie sous Pierre-le-Grand  en deux parties divisées par chapitres Texte imprimé	voltaire	1768	2	Cramer
  ARC00006419			978-2-8240-0756-4		Histoire de la Baie de Bourgneuf et de son littoral La Baye de Bretagne   Tome Ier	lacroix louis	2018		Editions des régionalismes
  ARC00006616					Histoire de la Bretagne Des origines à nos jours	tourault philippe	2019		Perrin
  ARC00006377			979-10-210-3689-5		Histoire de la Collaboration  1940-1945 	francois broche muracciole jean-francois	2019		Editions Tallandier
  ARC00006496					Histoire de la conjuration de Catilina  où l'on a inséré les Catilinaires de Cicéron	salluste	1752		H  L  Guérin
  ARC00006835					Histoire de la création du bureau de poste	de patrimoine et basse-mer association du barbechat chapelle la	2019		
  DOB00002356					Histoire de la destruction de Troye la Grant reproduction du manuscrit   Bibliothèque nationale  nouvelles acquisitions françaises 24920	thomas marcel	1973		Bibliothèque Nationale
  FRBNF456897390000002			978-2-36746-948-5		Histoire de l'ile de Noirmoutier	johan vincent	2019		
  ARC00007105					Histoire de sorciers et de sorcières sous l'ancien régime	libert louise-marie	2019		Editions Jourdan
  ARC00006491					Histoire de Tacite  en latin et en français Avec des notes sur le texte	tacite	1780		Moutard
  ARC00006490					Histoire de Tacite  en latin et en français Avec des notes sur le texte	tacite	1780		Moutard
  FRBNF45761741000000X			978-2-36942-813-8		Histoire des guerres révolutionnaires et impériales 1789-1815	jean-marc marill	2019		Nouveau Monde Editions
  ARC00006410			978-2-7178-6949-1		Histoire des institutions administratives Xe-XIXe siècle	glineur cedric	2017		Economica
  ARC00006793					Histoire des Parre  De la terre au commerce en passant par l'auberge	jean bouteiller	2001		
  ARC00006604					Histoire des variations des églises protestantes	jacques benigne bossuet	1822		Chez Delestre-Boulage
  ARC00006603					Histoire des variations des églises protestantes	jacques benigne bossuet	1822		Chez Delestre-Boulage
  ARC00006602					Histoire des variations des églises protestantes	jacques benigne bossuet	1822		Chez Delestre-Boulage
  ARC00006601					Histoire des variations des églises protestantes	jacques benigne bossuet	1822		Chez Delestre-Boulage
  DOB00002370					Histoire du curare les poisons de chasse en Amérique du Sud	jean-albert vellard	1965		Gallimard
  ARC00006611					Histoire du moyen-âge Mille ans de splendeurs et misères	georges minois	2019		Perrin
  ARC00006865					Histoire du viaduc ou  pont Têtedoie 		2019		
  ARC00007112					Histoire intellectuelle de l'occident médiéval	paul jacques	2019		Armand Colin
  ARC00006499					Histoire universelle de Diodore de Sicile  traduite en François par monsieur l'abbé Terrasson	sicile de terrasson diodore jean	1737		De Bure
  FRBNF372579320000004					Historiettes et fantaisiesTexte imprimé	louis veuillot	1888		V  Palmé Société belge de librairie
  ARC00006520					HÎtel de Rohan  actuellement Chez Lucien  7  place Saint-Aubin - Place de la Psalette 	lancien josick	2019		
  ARC00006709					Il était une fois Le Pé de Buzay	pellerin le autrefois	2019		
  ARC00006418			978-1-326-15058-7		Il y a 100 ans    Malville pendant la Grande Guerre	de d'histoire malville groupe laique locale l'amicale	2015		
  ARC00006508					Il y a 600 ans   le 8 avril 1418  saint Vincent Ferrier prêche à Guérande	alain gallice lancien vaillant josick	2019		
  ARC00006878					Ils avaient 10 ans pendant la guerre		2019		
  ARC00006403					Images de Jules Verne		2014		
  ARC00006698					Images de Saint-Nazaire pendant la Grande Guerre	pauvert patrick	2015		
  ARC00006749					Impacts sur l'environnement littoral des ouvrages défensifs aux approches de l'embouchure de la Loire	louis chauris	2019		
  ARC00006593					Introduction à la philosophie ou de la connaissance de Dieu et de soi-même suivie du traité du libre arbitre par Bossuet	jacques benigne bossuet	1822		Chez Delestre-Boulage
  ARC00006539					Jacques Moreau  avocat et prêtre  1737-1795 	david guy	2018	n° 33	
  ARC00007129	frbnf458271390000004		978-2-02-142057-9		Jaune histoire d'une couleur	pastoureau michel	2019		Seuil
  ARC00006883					J-B  Kléber  soldat de la République	kervarec michel	2019		
  ARC00006972					Je me souviens   de la seconde Guerre Mondiale Mémoires de guerre de Jean-Claude Bouin	aupiais jean-claude gregory bouin	2019		
  ARC00006347					Jean Chapron 1887-1918 Poète  peintre et     employé à la Caisse d' Epargne		2018		
  ARC00006870					Jean et Olivier de Bretagne  comtes de Penthièvre  vicomtes de Limoges  1384-1433 	lemeillat marjolaine	2019		
  DOB00002294			978-2-7355-0855-6		Jean-Baptiste Isabey Petits portraits et grands desseins	cyrill lecosse	2018		CTHS Institut national d'histoire de l'art
  ARC00006476					Jérusalem délivrée  poëme héroïque du Tasse  traduit en François Tome second	le tasse	1771		Chez la veuve Barrois et fils
  ARC00006412			978-2-84712-582-5		J'étais sûr que tu me trouverais L'épopée des quatre frères Mahé  guérandais et de leur mère Charlotte	tabary bernard	2018		Editions du Petit Pavé
  ARC00006461					Jeunes chefs de file	montier edward	1935		Editions Spes
  ARC00006472					Jeunes maîtres Etats d'âme d'aujourd'hui   Henry de Montherlant  François Mauriac  Jacques Maritain  Henri Massis  Jacques Rivière	aigrain rene pauline amoudru archambault le cormier paul bernard	1926		Libr  Bloud et Gay
  ARC00006450					Journal d'un aumÎnier breton - 1850  24e partie 	marchocki christiane	2019		
  ARC00006979					Journal d'un aumÎnier breton - 1850  25e partie 	marchocki christiane	2019		
  ARC00006855					Juger et punir à Nantes	elsa besson	2019		
  ARC00006379					L' Amiral du Chaffault  1708-1794  Grand serviteur de la marine royale	alain gaillard	2014		
  DOB00002382			978-2-7373-7623-8		L' art des jardins de France de la quête médiévale du paradis aux créations contemporaines des paysagistes	vassort jean	2017		Editions Ouest-France
  ARC00006416			978-2-94809-311-6		Là  L-A   Loire-Atlantique  Variations autobiographiques et départementales  suivi de Frères oiseaux	jean-claude pinson	2018		Joca Seria
  DOB00002342					La Bibliothèque du Service historique de la Défense	dubos jean-francois	2018		
  DOB00002313			978-2-84346-870-4		La Bretagne au temps des rois de Morvan à Alain le Grand  818-907  exposition  Landévennec  Musée de l'ancienne abbaye  du 2 mai 2018 au 3 novembre 2019	guenole ridoux	2019		Editions Coop Breizh
  ARC00007073					La Chabossière   une histoire en partage Promenade historique et architecturale	coueron			
  DOB00002365					La Chapelle Sixtine volume I	hartt frederick	1989		Editions Citadelles
  DOB00002357			2-85088-042-6		La Chapelle Sixtine volume II	hartt frederick	1989		Editions Citadelles
  ARC00006745					La château de Machecoul   un bilan des recherches historiques et archéologiques récentes	de fabien bernard grandmaison briand gerard setzer	2019		
  ARC00006647					La circulation des hommes et des techniques du raffinage des sucres au XVIIe siècle   l'Europe du Nord  Nantes  Les Antilles	tanguy marion	2017		
  ARC00006409			978-2-7013-1956-8		La confiance à l'ère numérique	jacopo doueihi domenicucci milad	2018		Berger-Levrault
  ARC00006809					La confrérie de la Bonne Mort	isidore impinna	2019		
  DOB00002323			978-2-271-08916-8		La conservation des peintures modernes et contemporaines	roche alain	2016		CNRS éditions
  ARC00006673					La conserve de sardines à l'huile Nantes  capitale mondiale	fichou jean-christophe	2019		
  ARC00006438					La construction aéronautique à Saint-Nazaire de 1926 à 1946 Un exemple de redressement industriel	correc paul	2019		
  ARC00006783					La construction du pont Saint-Georges à Nort-sur-Erdre  1755-1774 	ille-et-vilaine departementales gerard fourage archives	2004	5ème livraison	
  ARC00006782					La construction du pont Saint-Georges à Nort-sur-Erdre  1755-1774 	ille-et-vilaine departementales gerard fourage archives	2004	4ème livraison	
  ARC00006781					La construction du pont Saint-Georges à Nort-sur-Erdre  1755-1774 	ille-et-vilaine departementales gerard fourage archives	2004	supplément n°1	
  ARC00006780					La construction du pont Saint-Georges à Nort-sur-Erdre  1755-1774 	ille-et-vilaine departementales gerard fourage archives	2004	supplément n°1	
  ARC00006779					La construction du pont Saint-Georges à Nort-sur-Erdre  1755-1774 	ille-et-vilaine departementales gerard fourage archives	2004	3ème livraison	
  ARC00006778					La construction du pont Saint-Georges à Nort-sur-Erdre  1755-1774 	ille-et-vilaine departementales gerard fourage archives	2003	2ème livraison	
  ARC00006777					La construction du pont Saint-Georges à Nort-sur-Erdre  1755-1774 	ille-et-vilaine departementales gerard fourage archives	2003	1ère livraison	
  ARC00006943					La construction d'un service public de la donnée	lucie cluzel-metayer	2018		
  DOB00002329			978-2-35518-092-7		La construction d'une archéologie européenne  1865-1914  colloque en hommage à Joseph Déchelette	de direction pere-nogues sandra sous la	2019		Editions Monique Mergoil
  ARC00006758					La construction juridique des paysages littoraux depuis 1906  	patrick le louarn	2019		
  ARC00006609					La culture du maïs en Loire-Atlantique et les problèmes géographiques	colineau j	1978		 s n  
  ARC00007080					La culture est dans les bars    et l'union fait la force 	bourgault pierrick	2019		
  ARC00006331					La défense de la Grande Brière Mottière dans la seconde moitié du XVIIIe siècle	alain gallice	2017		
  ARC00006845					La documentation française illustrée	de france direction francaise documentation la	1967		La Documentation française
  ARC00006625					La duchesse Constance de Bretagne et le gouvernement en héritage à la fin du XIIème siècle	chaudet elodie	2019		
  ARC00006527					La famille Luc et la ferronnerie d'art   une passion transmise de père en fils	guillaume francois aurelia bourse berthe andre	2019		
  ARC00006645					La fête des Ecoles à Saint-Nazaire après la guerre	sauvaget daniel	2017		
  DOB00002360			9782846544863		La France et l'Inde  des origines à nos jours l'Inde entrevue tome 1	weber jacques	2019		Les Indes Savantes
  FRBNF331146760000004					La franc-maçonnerie	paul naudon	1967		Presses universitaires de France
  ARC00007092					La gabelle  la troque  la douane  ImpÎt capricieux sur le sel	de les memoire association greniers la	2019		
  DOB00002393			978-2-330-09264-1		La Gaule romaine	blin benjamin lefort olivier	2018		Actes Sud junior INRAP
  ARC00006394			978-2-35077-340-7		La généalogie sur internet   Geneanet org Des milliards d'ancêtres à portée de clavier	guidou gwen	2018		Archives   Culture
  ARC00006622					La génération de la guerre  La guerre 1914-1918 vécue par les anciens élèves du Lycée de Nantes Comité de l'Histoire du Lycée Clemenceau de Nantes	bourgeon jean	2015		
  DOB00002397			9782917812907		La Gestion d'une régie directe culturelle le guide de bord de la gestion culturelle au sein de l'administration publique territoriale	crouzet olivier	2019		
  ARC00006705					La grande pauvreté à Nantes   de précoces lanceurs d'alerte	guyvarc'h didier	2019		
  ARC00006665					La grande pauvreté à Nantes   de précoces lanceurs d'alerte	guyvarc'h didier	2019		
  ARC00006431			978-2-226-39721-8		La grande tueuse Comment la grippe espagnole a changé le monde	spinney laura	2018		Albin Michel
  ARC00006487					La Grèce  Rome et Dante Etudes littéraires d'après nature	ampere jean-jacques			librairie académique Didier
  FRBNF428032990000007					La Henriade  en dix chants   précédée  accompagnée    suivie de toutes les piéces rélatives à ce poëme   à la poësie épique en général   auxquelles on a joint le Temple du goût  les Discours sur l'homme  les Poèmes  de Fontenoy  sur le désastre de Lisbonne  sur la loi naturelle   c Texte imprimé	voltaire	1768	1	 Cramer 
  ARC00006345					La justice de paix	jerime malhache	2019		
  ARC00006747					La lanterne des morts des Moutiers-en-Retz	pipaud patrice	2019		
  ARC00006968					La lettre à Charles	pauvert patrick	2019		
  ARC00006620					La lutte clandestine en France Une histoire de la Résistance	douzou blanc albertelli laurent sebastien julien	2019		Editions du Seuil
  FRBNF456688190000003			978-2-02-138952-4		La lutte et l'entraide l'âge des solidarités ouvrières	delalande nicolas	2019		Editions du Seuil
  ARC00006363			978-2-7535-7599-8		La maison du négociant dans les villes portuaires de la façade atlantique européenne au XVIIIe siècle Mise en parallèle de deux cités   Cadix et Nantes	del gomez maria marquez carmen	2019		Presses universitaires de Rennes
  ARC00006899					La Maladrie de Vertou	jean delumeau janine jouitteau	2019		
  ARC00006992					La Marée Noire de l'Amoco-Cadiz  2ère partie		1978		 s n  
  ARC00006926					La mémoire de la traite des Noirs  de l'esclavage et de leurs abolitions à La Rochelle   les initiatives municipales  1979-2015 	mickael augeron	2018		
  ARC00006404			979-10-210-2765-7		La mémoire des croquants Chroniques de la France des campagnes  1435-1652 	jean-marc moriceau	2018		Editions Tallandier
  FRBNF45590408000000X			978-2-226-39905-2		La métallo roman	catherine ecole-boivin	2018		Albin Michel
  ARC00006813					La mise en boîte d'un caboteur	michel philippe	2019		
  DOB00002376					La monnaie de Chinon pendant la Guerre de Cent Ans	gildas salain	2019		
  DOB00002309			9782354040802		La Nécropole de Saint-Rieul à Louvres de Clovis au musée ARCHEA	antoinette patrick perin hubert	2018		ARCHEA
  ARC00006949					La Nièce de Monseigneur ou l'histoire du Loroux-Bottereau de Noé à la guerre de 39-45 En passant par Energique et la Brebis du Bon Dieu  	perron henri	2019		Edilivre
  FRBNF457926810000005			978-2-200-62514-6		La non-épuration en France de 1943 aux années 1950	annie lacroix-riz	2019		Armand Colin
  FRBNF436632670000001			978-2-7535-2267-1		La paroisse  communauté et territoire constitution et recomposition du maillage paroissial	louisa daniel pichot plouchart merdrignac bernard	2013		Presses universitaires de Rennes
  ARC00007104					La pêche   regards croisés	michon cerino eric saunier christophe bernard	2019		Presses universitaires de Rouen et du Havre
  ARC00006359			978-2-7535-7599-8		La pêche à la morue et le renouvellement de l' élite nantaise au XVIIe siècle	bernard michon	2019		Presses universitaires de Rennes
  ARC00007060					La place des forges de la Hunaudière dans le système productif métallurgique castelbriantais	ronan perennes	2019		
  ARC00006946					La portabilité des données et des services	francois pellegrini	2018		
  FRBNF457281000000001			979-10-353-0255-9		La Presqu'île de Guérande	arnaud christian braut lancien dolivet drean gregory josick	2019		Geste éditions
  ARC00006757					La presqu'île guérandaise  source d'inspiration des peintres aux XIXème et XXème siècles  	delpire laurent	2019		
  ARC00006458					La prêtresse d'Isis	edouard schure			Librairie Académique Perrin et Cie
  ARC00006710					La prison de la rue de l'Anguille	pellerin le autrefois	2019		
  ARC00006942					La propriété des données publiques	aurelien camus	2018		
  DOB00002300			978-2-7056-9594-1		La Protohistoire de la France	guilaine dominique sciences et des international garcia prehistoriques congres jean protohistoriques	2018		Hermann
  ARC00006847					La question de la marine marchande Introduction  La prime ou la surtaxe   La prime au temps ou à la distance   Constructions françaises ou constructions étrangères   Conclusions  Note et observations sur les décisions de la Commission Parlementaire	bureau leon	1892		Imprimerie moderne Deroual Joubin
  DOB00002330			978-2-343-16830-2		La question mémorielle au XXIe siècle jouer éternellement le passé	leroux charles-edouard	2019		Editions de L'Harmattan
  ARC00006328			978-2-371-1-331839		La Reine des Korrigans Une légende de Guérande	cheval fanny	2018		Beluga Coop Breizh
  ARC00006355			978-2-37469-008-7		La Résistance en Bretagne vue par l' Armée américaine	rondel eric	2016		
  ARC00006531					La saga Linares   à la découverte d'un héros guérandais	boulnois alain	2019		
